Age,Profession,Marital Status,Education,No of Dependents,Personal Loan,House Loan,Wife Working,Salary,Wife Salary,Total Salary,Make,Price
49,Teacher,0,Master's,0,1,1,0,32718,0,32718,Hero Photon,80123
30,HR Manager,0,Bachelor's,0,0,1,0,78533,0,78533,TVS iQube,107496
47,Govt. Servant,1,Master's,1,0,1,1,75713,112190,187903,Simple One,115082
44,HR Manager,1,Master's,0,0,0,0,53685,0,53685,Pure EV EPluto,101140
58,Software Dev,1,Bachelor's,1,0,0,0,134471,0,134471,Bajaj Chetak,121537
52,Govt. Servant,0,Master's,1,0,0,0,99800,0,99800,Ampere Magnus,78562
20,Doctor,1,Bachelor's,3,1,0,1,64412,60654,125066,Ola S1,109802
46,Engineer,1,MBA,4,0,1,0,79364,0,79364,Ather 450X,144512
32,Teacher,1,Doctorate,4,0,1,1,33879,113115,146994,Ampere Magnus,79237
22,Consultant,1,High School,3,0,0,1,132553,93259,225812,Okinawa iPraise,105084
58,Designer,1,Master's,1,1,0,1,62607,96182,158789,Pure EV EPluto,91604
25,Engineer,0,Bachelor's,2,0,1,0,101553,0,101553,Ampere Magnus,83952
27,Govt. Servant,0,Doctorate,0,0,0,0,70681,0,70681,Hero Photon,80853
46,Designer,1,Master's,3,0,1,0,39576,0,39576,Bajaj Chetak,119438
28,Teacher,1,Doctorate,3,1,0,1,22170,33799,55969,Ather 450X,141149
56,Consultant,1,MBA,3,1,1,0,198501,0,198501,Revolt RV400,136002
52,Sales Exec,1,Master's,3,1,0,0,39673,0,39673,Ather 450X,147366
43,Sales Exec,0,Bachelor's,4,0,0,0,71752,0,71752,Okinawa iPraise,110368
34,Consultant,1,MBA,1,0,0,1,198332,132666,330998,Hero Photon,84905
51,Designer,0,Master's,3,1,1,0,63161,0,63161,Ather 450X,143641
51,Doctor,1,Doctorate,3,1,0,1,172550,135189,307739,Revolt RV400,132119
43,Designer,1,MBA,3,0,0,0,53084,0,53084,Revolt RV400,127155
31,HR Manager,1,Bachelor's,2,1,1,0,87364,0,87364,Okinawa iPraise,102269
58,Designer,0,Master's,2,1,1,0,63000,0,63000,Revolt RV400,124959
21,Doctor,1,Doctorate,0,1,0,1,227409,32928,260337,Bajaj Chetak,123908
22,Engineer,1,Doctorate,1,0,1,0,68673,0,68673,Okinawa iPraise,107919
56,Teacher,0,MBA,3,1,1,0,37215,0,37215,Ather 450X,143519
36,Designer,1,Master's,0,1,1,0,71046,0,71046,Ampere Magnus,83571
21,Teacher,1,Doctorate,0,1,0,0,59808,0,59808,Revolt RV400,133818
21,Govt. Servant,1,MBA,1,0,1,0,89252,0,89252,Ola S1,112876
47,Sales Exec,1,High School,2,0,0,0,75988,0,75988,TVS iQube,111175
42,Sales Exec,0,Doctorate,1,1,1,0,30409,0,30409,Ola S1,117825
56,Doctor,1,MBA,0,1,0,0,198833,0,198833,Bajaj Chetak,126906
51,Govt. Servant,1,High School,1,1,1,1,46221,62133,108354,Simple One,104748
52,Sales Exec,0,MBA,2,1,1,0,29426,0,29426,Revolt RV400,127457
20,Doctor,0,Doctorate,0,1,0,0,85068,0,85068,Bajaj Chetak,113318
38,Designer,0,High School,1,0,0,0,54597,0,54597,Hero Photon,86353
21,Govt. Servant,0,MBA,3,1,0,0,33877,0,33877,Okinawa iPraise,112605
45,HR Manager,1,Master's,3,1,0,0,52319,0,52319,Okinawa iPraise,101008
51,HR Manager,1,High School,1,0,0,0,92534,0,92534,Ampere Magnus,77381
25,HR Manager,1,MBA,1,0,0,0,73112,0,73112,TVS iQube,109414
51,Engineer,0,Master's,2,1,0,0,52383,0,52383,Hero Photon,88318
23,HR Manager,1,High School,0,0,0,1,106696,103847,210543,TVS iQube,113693
30,Govt. Servant,1,MBA,1,0,1,0,30483,0,30483,Pure EV EPluto,104348
36,Software Dev,1,Doctorate,0,1,0,1,93169,62308,155477,Ampere Magnus,76891
57,Sales Exec,1,High School,3,1,0,0,68639,0,68639,Revolt RV400,127937
43,HR Manager,1,High School,0,0,0,1,107364,67383,174747,Ather 450X,149244
24,Govt. Servant,1,Master's,4,1,1,0,56460,0,56460,Pure EV EPluto,90858
53,Businessman,0,MBA,2,1,0,0,296894,0,296894,Bajaj Chetak,114583
25,Designer,1,Doctorate,2,0,1,0,90397,0,90397,Okinawa iPraise,119793
41,Engineer,1,Master's,0,1,1,1,46699,105627,152326,Bajaj Chetak,121188
30,Teacher,1,High School,2,0,1,1,30068,23360,53428,Ampere Magnus,74803
35,Doctor,1,Master's,0,0,1,1,237214,142763,379977,Ola S1,116700
52,Businessman,0,Master's,0,0,1,0,162747,0,162747,Revolt RV400,123399
28,Businessman,1,Master's,3,0,1,0,236169,0,236169,Simple One,112899
25,Engineer,1,High School,0,0,1,1,39805,133411,173216,Pure EV EPluto,106687
35,Doctor,1,Bachelor's,2,1,1,1,97238,65631,162869,Bajaj Chetak,128312
48,Engineer,0,Master's,4,0,0,0,43574,0,43574,Revolt RV400,122449
22,HR Manager,1,Bachelor's,1,1,1,0,87042,0,87042,Simple One,101877
39,Teacher,1,Doctorate,2,1,1,1,54868,93422,148290,Bajaj Chetak,127132
55,Doctor,1,Doctorate,4,0,0,0,130147,0,130147,Ampere Magnus,73274
38,Govt. Servant,0,Doctorate,2,1,0,0,70954,0,70954,Revolt RV400,123226
45,Sales Exec,0,MBA,4,0,0,0,25024,0,25024,Okinawa iPraise,108607
22,Engineer,1,High School,2,0,0,1,83732,39259,122991,TVS iQube,115681
38,Teacher,0,Bachelor's,1,1,0,0,21896,0,21896,Okinawa iPraise,106721
39,Designer,1,MBA,3,0,0,1,70369,131496,201865,Hero Photon,80221
51,Software Dev,1,Bachelor's,3,1,0,0,59084,0,59084,Okinawa iPraise,111605
26,Designer,1,High School,1,1,0,0,96674,0,96674,Ather 450X,143930
52,Software Dev,1,Master's,2,1,0,1,87878,21577,109455,Bajaj Chetak,112762
59,Consultant,0,MBA,4,0,1,0,197579,0,197579,Simple One,114201
58,Govt. Servant,1,High School,0,1,0,1,56478,130388,186866,TVS iQube,109199
37,Consultant,1,MBA,2,0,1,1,68010,144876,212886,Ola S1,114703
59,Engineer,1,Doctorate,1,1,0,1,64352,57065,121417,Hero Photon,80656
20,Engineer,1,MBA,3,1,0,1,49842,59483,109325,Bajaj Chetak,129750
30,Software Dev,1,Master's,3,0,1,1,93520,56201,149721,Pure EV EPluto,103000
47,Doctor,0,Master's,2,1,1,0,159709,0,159709,Ather 450X,145206
44,Teacher,1,Bachelor's,4,1,0,1,31485,52653,84138,Ola S1,106147
42,HR Manager,1,MBA,1,1,1,1,66614,117586,184200,Ather 450X,144536
50,Businessman,1,Doctorate,1,0,1,0,101885,0,101885,Bajaj Chetak,127934
49,Engineer,1,Master's,4,0,1,0,31244,0,31244,Simple One,105290
54,Consultant,0,Bachelor's,4,1,0,0,121428,0,121428,Hero Photon,80891
26,Consultant,1,Doctorate,2,1,1,1,163568,117266,280834,Revolt RV400,132190
35,Designer,1,Doctorate,2,0,1,0,90628,0,90628,Okinawa iPraise,103333
45,Govt. Servant,0,Doctorate,3,0,1,0,68390,0,68390,TVS iQube,101365
21,Software Dev,1,High School,3,0,0,1,57714,120728,178442,TVS iQube,101053
20,Businessman,0,Master's,4,1,0,0,262212,0,262212,Ather 450X,145856
31,Software Dev,1,High School,0,1,1,1,92496,75360,167856,Bajaj Chetak,118493
24,Engineer,0,High School,0,0,1,0,71942,0,71942,Bajaj Chetak,129700
56,Sales Exec,1,Master's,0,0,1,1,55900,118202,174102,Ather 450X,149611
51,Businessman,0,MBA,1,1,0,0,156362,0,156362,Ola S1,106000
28,Designer,1,Bachelor's,2,1,1,0,49982,0,49982,Ather 450X,146153
54,Consultant,1,Master's,4,0,1,0,129207,0,129207,Hero Photon,87680
38,Designer,0,Bachelor's,3,0,1,0,77379,0,77379,Okinawa iPraise,118425
35,Engineer,1,MBA,0,1,1,0,100376,0,100376,Hero Photon,84844
22,Sales Exec,0,Master's,3,0,1,0,79809,0,79809,Bajaj Chetak,111395
39,HR Manager,1,Doctorate,2,1,1,0,95071,0,95071,Pure EV EPluto,93254
43,Businessman,1,Master's,4,1,0,0,89695,0,89695,TVS iQube,107381
52,Software Dev,1,MBA,0,1,0,1,45269,102453,147722,Pure EV EPluto,99000
43,Businessman,1,High School,0,0,0,1,261549,145205,406754,Okinawa iPraise,119638
30,Consultant,0,Master's,4,1,1,0,144940,0,144940,Bajaj Chetak,129401
27,Software Dev,0,Doctorate,3,0,0,0,105964,0,105964,Simple One,108649
55,HR Manager,1,Master's,2,0,0,1,91450,99321,190771,Ola S1,117102
57,HR Manager,0,High School,2,1,1,0,78922,0,78922,Okinawa iPraise,106001
59,Govt. Servant,1,Master's,2,0,1,1,65232,27615,92847,Revolt RV400,122730
39,Software Dev,0,Doctorate,3,1,1,0,99941,0,99941,Bajaj Chetak,119708
54,Teacher,1,MBA,3,0,1,1,31454,88990,120444,Ampere Magnus,88896
44,Sales Exec,0,Doctorate,0,1,0,0,28741,0,28741,Ola S1,109297
54,Teacher,1,MBA,3,1,1,0,40936,0,40936,Okinawa iPraise,116696
44,HR Manager,0,Doctorate,1,1,0,0,82252,0,82252,Ampere Magnus,80031
48,Software Dev,0,Bachelor's,4,1,1,0,94191,0,94191,Simple One,113105
37,Govt. Servant,1,Master's,3,1,1,0,45860,0,45860,Ola S1,119396
37,Businessman,0,Master's,2,0,0,0,113251,0,113251,Ampere Magnus,73975
21,Businessman,1,High School,3,0,0,0,259219,0,259219,Hero Photon,82743
54,Businessman,1,Bachelor's,0,1,0,0,220675,0,220675,Hero Photon,80621
35,Govt. Servant,0,High School,4,0,0,0,54106,0,54106,Hero Photon,83034
55,Engineer,1,Master's,4,0,0,0,39324,0,39324,Ola S1,104211
52,Software Dev,1,High School,2,1,1,1,133624,41527,175151,Hero Photon,89836
23,Teacher,1,MBA,4,1,1,0,30688,0,30688,Simple One,119734
52,Sales Exec,1,Bachelor's,1,1,0,1,63963,97341,161304,Simple One,108278
33,HR Manager,1,Doctorate,4,1,1,1,93346,81479,174825,Revolt RV400,131356
40,Sales Exec,0,MBA,2,1,1,0,29770,0,29770,Hero Photon,81248
39,HR Manager,0,Doctorate,4,0,1,0,106387,0,106387,Revolt RV400,130494
27,Software Dev,1,High School,3,0,1,1,131239,96880,228119,Ampere Magnus,89445
26,Software Dev,1,Master's,0,0,0,0,133376,0,133376,Pure EV EPluto,101537
22,Designer,0,MBA,3,1,1,0,91485,0,91485,Hero Photon,82374
36,Teacher,1,Bachelor's,1,0,0,0,45797,0,45797,Simple One,114022
52,Consultant,1,Doctorate,1,1,0,0,187979,0,187979,Ampere Magnus,78327
31,HR Manager,0,MBA,0,1,0,0,136360,0,136360,Hero Photon,85745
41,Doctor,0,Master's,0,1,0,0,244217,0,244217,Hero Photon,87124
41,Consultant,1,Bachelor's,0,1,0,0,62316,0,62316,Revolt RV400,136745
49,Businessman,0,Bachelor's,0,0,0,0,246296,0,246296,Okinawa iPraise,119728
57,Sales Exec,0,Doctorate,4,1,1,0,37934,0,37934,Ola S1,101842
57,Software Dev,0,MBA,3,0,1,0,114596,0,114596,Ampere Magnus,81680
27,Doctor,1,MBA,1,1,0,0,133234,0,133234,Okinawa iPraise,104673
46,HR Manager,1,Bachelor's,4,0,0,0,126903,0,126903,Pure EV EPluto,103499
46,Engineer,0,High School,0,0,0,0,36600,0,36600,Hero Photon,85397
53,HR Manager,0,Bachelor's,2,1,0,0,88616,0,88616,Ola S1,119487
40,Sales Exec,1,Master's,2,0,0,1,26586,116150,142736,Pure EV EPluto,105088
49,HR Manager,1,MBA,3,0,0,1,115088,149673,264761,Ampere Magnus,70135
52,HR Manager,1,Doctorate,1,1,1,1,55967,56640,112607,Bajaj Chetak,111086
47,Govt. Servant,1,MBA,1,0,1,1,59467,148583,208050,Okinawa iPraise,100208
52,Teacher,1,Bachelor's,3,0,1,0,42713,0,42713,Bajaj Chetak,120279
24,Consultant,0,Master's,0,0,1,0,103147,0,103147,Bajaj Chetak,115804
38,Engineer,1,High School,0,1,1,1,62346,76068,138414,Pure EV EPluto,106897
23,Software Dev,1,MBA,1,1,0,0,49670,0,49670,Revolt RV400,139430
54,HR Manager,1,Bachelor's,1,0,1,0,68120,0,68120,Hero Photon,85359
36,Engineer,1,Bachelor's,1,0,0,0,113933,0,113933,Pure EV EPluto,103040
47,Designer,0,Bachelor's,0,0,1,0,74108,0,74108,Ampere Magnus,88777
49,HR Manager,0,Master's,2,0,1,0,79553,0,79553,Ola S1,105086
48,Govt. Servant,1,Bachelor's,3,1,0,1,47041,119809,166850,Simple One,101033
25,Govt. Servant,1,Bachelor's,3,0,0,1,90839,96018,186857,Ola S1,112338
54,Doctor,1,Bachelor's,4,0,1,1,80148,35002,115150,Hero Photon,81195
56,Businessman,1,MBA,4,0,1,1,225783,95069,320852,Okinawa iPraise,107370
43,Sales Exec,0,Bachelor's,2,1,0,0,33448,0,33448,Pure EV EPluto,99550
48,Consultant,0,Master's,1,0,1,0,156700,0,156700,Pure EV EPluto,105827
50,Designer,1,MBA,2,0,0,0,39075,0,39075,Bajaj Chetak,118939
54,Sales Exec,0,Bachelor's,4,1,1,0,23732,0,23732,Ampere Magnus,83307
52,Sales Exec,1,High School,4,0,0,1,75131,21758,96889,Hero Photon,85722
40,Doctor,0,Master's,3,0,0,0,244875,0,244875,Simple One,118461
51,Govt. Servant,1,High School,2,0,0,1,60779,54712,115491,Bajaj Chetak,115774
42,Teacher,1,Master's,0,1,1,1,50110,107489,157599,Revolt RV400,139023
52,Engineer,1,High School,4,1,0,0,55460,0,55460,Okinawa iPraise,103514
22,Software Dev,0,Bachelor's,3,0,1,0,49174,0,49174,Okinawa iPraise,109061
37,Teacher,1,High School,1,0,1,0,30636,0,30636,TVS iQube,104053
44,Teacher,1,High School,2,1,1,0,34380,0,34380,TVS iQube,100837
50,Businessman,1,Master's,4,1,0,1,291155,37939,329094,Ampere Magnus,75619
22,Businessman,0,Bachelor's,0,0,1,0,166257,0,166257,Simple One,114951
59,Teacher,0,Master's,4,0,0,0,25281,0,25281,Ather 450X,148851
43,Govt. Servant,0,Bachelor's,0,0,0,0,80372,0,80372,Ampere Magnus,73268
51,Sales Exec,0,Doctorate,2,1,1,0,45281,0,45281,Okinawa iPraise,107988
41,Engineer,1,MBA,0,1,0,1,91245,81558,172803,Bajaj Chetak,113274
42,Sales Exec,1,MBA,0,1,0,0,22606,0,22606,Ather 450X,149345
21,Sales Exec,0,Master's,3,1,0,0,46849,0,46849,Ather 450X,149863
46,Sales Exec,0,Bachelor's,2,1,1,0,61985,0,61985,Ola S1,116016
21,Engineer,0,High School,4,0,0,0,64084,0,64084,Simple One,113410
45,Engineer,1,MBA,1,0,0,0,65919,0,65919,Ampere Magnus,86447
36,Doctor,1,Master's,2,0,1,1,158422,141463,299885,Ola S1,107631
59,Consultant,1,Master's,2,1,0,0,179965,0,179965,Ather 450X,142083
52,Teacher,1,Master's,1,0,0,0,59486,0,59486,Pure EV EPluto,104326
28,HR Manager,1,Bachelor's,4,1,0,1,52295,68938,121233,Hero Photon,82736
58,Doctor,0,Master's,3,1,1,0,190742,0,190742,Ola S1,110320
48,Doctor,0,Doctorate,4,0,0,0,225748,0,225748,TVS iQube,106679
45,Software Dev,1,High School,1,0,0,1,126005,87138,213143,Revolt RV400,120618
54,HR Manager,1,Master's,4,0,1,0,144682,0,144682,Okinawa iPraise,107811
44,Businessman,0,Bachelor's,2,0,0,0,168730,0,168730,Ather 450X,147659
43,Software Dev,0,High School,3,0,0,0,116377,0,116377,Simple One,115805
32,Businessman,0,High School,0,1,0,0,141271,0,141271,Bajaj Chetak,119724
26,Consultant,1,MBA,4,1,0,0,76902,0,76902,Pure EV EPluto,108056
